Issue Date,,03-Aug-24,09-Aug-24,16-Aug-24,25-Aug-24,31-Aug-24,10-Sep-24,16-Sep-24,23-Sep-24,30-Sep-24,06-Oct-24
Ghana,% Male,,,,,,,,,,No info
Ghana,Testing Rate (%),,,,,,,,,,No info
Ghana,Positivity Rate (%),,,,,,,,,,No info
Ghana,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,No info
Guinea,New Cases,,,,,,24,,,18,
Guinea,New Confirmed Cases,,,,,,1,,,0,
Guinea,New Deaths,,,,,,0,,,0,
Guinea,Cumulative Cases,,,,,,24,,,41,
Guinea,Cumulative Confirmed Cases,,,,,,1,,,1,
Guinea,Cumulative Deaths,,,,,,0,,,No info,
Guinea,Case Fatality Rate (%),,,,,,0,,,No info,
Guinea,% Children < 15 Years,,,,,,No info,,,No info,
Guinea,% Male,,,,,,No info,,,No info,
Guinea,Testing Rate (%),,,,,,88,,,100,
Guinea,Positivity Rate (%),,,,,,4.8,,,No info,
Guinea,Clade(s) Isolated from Confirmed Cases,,,,,,No info,,,No info,
Kenya,New Cases,1,,,1,,1,,,,3
Kenya,New Confirmed Cases,1,,,1,,1,,,,3
Kenya,New Deaths,0,,,0,,No info,,,,0
Kenya,Cumulative Cases,1,,,2,,115,,,,8
Kenya,Cumulative Confirmed Cases,1,,,2,,5,,,,8
Kenya,Cumulative Deaths,0,,,0,,No info,,,,0
Kenya,Case Fatality Rate (%),0,,,0,,No info,,,,0
Kenya,% Children < 15 Years,0,,,0,,0,,,,0
Kenya,% Male,100,,,No info,,60,,,,63
Kenya,Testing Rate (%),100,,,No info,,86,,,,100
Kenya,Positivity Rate (%),100,,,No info,,5,,,,4
Kenya,Clade(s) Isolated from Confirmed Cases,No info,,,No info,,Ib,,,,Ib
Liberia,New Cases,,,,1,,87,33,30,,
Liberia,New Confirmed Cases,,,,1,,2,3,1,,
Liberia,New Deaths,,,,0,,0,0,0,,
Liberia,Cumulative Cases,,,,6,,93,96,145,,
Liberia,Cumulative Confirmed Cases,,,,6,,8,11,12,,
Liberia,Cumulative Deaths,,,,0,,0,0,0,,
Liberia,Case Fatality Rate (%),,,,0,,0,0,0,,
Liberia,% Children < 15 Years,,,,"33
(>15 only)",,50,45,"No info
(20-40 only)",,
Liberia,% Male,,,,50,,50,"45
(female % given)","50
(female % given)",,
Liberia,Testing Rate (%),,,,No info,,56,79,82,,
Liberia,Positivity Rate (%),,,,No info,,12,11,10.1,,
Liberia,Clade(s) Isolated from Confirmed Cases,,,,No info,,No info,No info,No info,,
Morocco,New Cases,,,,,,,1,,,
Morocco,New Confirmed Cases,,,,,,,1,,,
Morocco,New Deaths,,,,,,,0,,,
Morocco,Cumulative Cases,,,,,,,"3 (2022)
2 (2024)",,,
Morocco,Cumulative Confirmed Cases,,,,,,,"3 (2022)
2 (2024)",,,
Morocco,Cumulative Deaths,,,,,,,0,,,
Morocco,Case Fatality Rate (%),,,,,,,0,,,
Morocco,% Children < 15 Years,,,,,,,No info,,,
Morocco,% Male,,,,,,,No info,,,
Morocco,Testing Rate (%),,,,,,,No info,,,
Morocco,Positivity Rate (%),,,,,,,No info,,,
Morocco,Clade(s) Isolated from Confirmed Cases,,,,,,,IIb (2022),,,
Nigeria,New Cases,,,15,,1,868,74,63,72,
Nigeria,New Confirmed Cases,,,15,,1,8,7,6,5,
Nigeria,New Deaths,,,0,,0,0,0,0,0,
Nigeria,Cumulative Cases,,,39,,40,916,990,1100,1180,
Nigeria,Cumulative Confirmed Cases,,,39,,40,48,55,73,78,
Nigeria,Cumulative Deaths,,,0,,0,0,0,0,0,
Nigeria,Case Fatality Rate (%),,,0,,0,0,0,0,0,
Nigeria,% Children < 15 Years,,,"38
(ages <1-10 years)",,"35
(ages <1-10 years)",35,35,"37.3
(ages <1-10 years)","29.4
(ages <1-10 years)",
Nigeria,% Male,,,70,,70,71,71,67,68,
Nigeria,Testing Rate (%),,,No info,,No info,"100 
(this is wrong - should be 868/916 or 94.7)",100,100,100,
Nigeria,Positivity Rate (%),,,No info,,No info,5.5,5.9,6.4,6.6,
Nigeria,Clade(s) Isolated from Confirmed Cases,,,II,,No info,No info,No info,II,No info,
Rwanda,New Cases,,,2,,,,,263,,
Rwanda,New Confirmed Cases,,,2,,,,,0,,
Rwanda,New Deaths,,,0,,,,,0,,
Rwanda,Cumulative Cases,,,4,,,,,1379,,
Rwanda,Cumulative Confirmed Cases,,,4,,,,,4,,
Rwanda,Cumulative Deaths,,,0,,,,,0,,
Rwanda,Case Fatality Rate (%),,,0,,,,,0,,
Rwanda,% Children < 15 Years,,,No info,,,,,0,,
Rwanda,% Male,,,No info,,,,,67,,
Rwanda,Testing Rate (%),,,No info,,,,,100,,
Rwanda,Positivity Rate (%),,,No info,,,,,"No info
(missing)",,
Rwanda,Clade(s) Isolated from Confirmed Cases,,,Ib,,,,,Ib,,
South Africa,New Cases,,2,,,,,1,,,
South Africa,New Confirmed Cases,,2,,,,,1,,,
South Africa,New Deaths,,0,,,,,0,,,
South Africa,Cumulative Cases,,24,,,,,25,,,
South Africa,Cumulative Confirmed Cases,,24,,,,,25,,,
South Africa,Cumulative Deaths,,3,,,,,3,,,
South Africa,Case Fatality Rate (%),,12.5,,,,,12,,,
South Africa,% Children < 15 Years,,0,,,,,0,,,
South Africa,% Male,,100,,,,,100,,,
South Africa,Testing Rate (%),,No info,,,,,"No info 
(total # of tests given only)",,,
South Africa,Positivity Rate (%),,No info,,,,,3.6,,,
South Africa,Clade(s) Isolated from Confirmed Cases,,IIb,,,,,IIb,,,
Uganda,New Cases,2,,,1,1,6,1,11,2,
Uganda,New Confirmed Cases,2,,,1,1,6,1,11,2,
Uganda,New Deaths,0,,,0,0,0,0,0,0,
Uganda,Cumulative Cases,2,,,3,4,200,201,212,597,
Uganda,Cumulative Confirmed Cases,2,,,3,4,10,11,22,24,
Uganda,Cumulative Deaths,0,,,0,0,0,0,0,0,
Uganda,Case Fatality Rate (%),0,,,0,0,0,0,0,0,
Uganda,% Children < 15 Years,0,,,0,0,0,No info,No info,No info,
Uganda,% Male,0,,,No info,50,60,No info,No info,No info,
Uganda,Testing Rate (%),100,,,No info,No info,100,100,100,100,
Uganda,Positivity Rate (%),100,,,No info,No info,5,5.5,10.3,4,
Uganda,Clade(s) Isolated from Confirmed Cases,No info,,,No info,No info,Ib,Ib,Ib,Ib,
