country,iso3,week_end_date,total_confirmed_cases,total_suspected_cases,total_deaths,total_suspected_deaths,new_confirmed_cases,new_suspected_cases,new_deaths,new_suspected_deaths
South Africa,ZAF,19/03/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,23/04/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,28/05/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,20/08/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,24/09/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,17/12/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,21/01/2024,5,NA,0,NA,0,0,0,0
South Africa,ZAF,14/04/2024,5,NA,0,NA,0,0,0,0
South Africa,ZAF,30/06/2024,21,16,3,3,0,0,0,0
Uganda,UGA,14/07/2024,2,28,0,0,1,10,0,0
Uganda,UGA,21/07/2024,2,35,0,0,0,7,0,0
Burundi,BDI,18/08/2024,153,572,0,0,70,239,0,0
Benin,BEN,18/08/2024,3,NA,0,NA,0,0,0,0
Burundi,BDI,25/08/2024,231,820,0,0,78,248,0,0
Cameroon,CMR,18/08/2024,50,39,5,2,0,3,0,0
Cameroon,CMR,11/08/2024,50,36,5,2,0,2,0,0
Central African Republic,CAF,18/08/2024,92,265,2,1,0,5,0,0
Côte d’Ivoire,CIV,28/07/2024,9,11,0,0,4,6,0,0
Côte d’Ivoire,CIV,18/08/2024,34,56,1,0,13,23,1,0
Congo,COG,18/08/2024,47,169,2,0,0,2,0,0
Nigeria,NGA,08/09/2024,928,1037,9,0,9,78,0,0
Mozambique,MOZ,01/09/2024,1,NA,1,NA,0,0,0,0
Benin,BEN,25/08/2024,3,NA,0,NA,0,0,0,0
Burundi,BDI,08/09/2024,385,1360,0,0,57,231,0,0
Democratic Republic of the Congo,COD,08/09/2024,6477,24802,27,817,184,1952,0,67
Ghana,GHA,08/09/2024,128,NA,4,NA,0,0,0,0
Central African Republic,CAF,08/09/2024,94,286,2,1,0,8,0,0
Cameroon,CMR,25/08/2024,50,43,5,2,0,4,0,0
Cameroon,CMR,01/09/2024,51,47,5,2,1,4,0,0
Congo,COG,08/09/2024,47,184,2,0,0,0,0,0
Guinea,GIN,25/08/2024,0,0,0,0,0,0,0,0
Kenya,KEN,08/09/2024,5,115,0,0,1,35,0,0
Rwanda,RWA,01/09/2024,4,4,0,0,0,0,0,0
Rwanda,RWA,08/09/2024,4,4,0,0,0,0,0,0
South Africa,ZAF,25/08/2024,29,24,3,3,0,0,0,0
Uganda,UGA,08/09/2024,23,112,0,0,8,11,0,0
Liberia,LBR,08/09/2024,26,113,0,0,2,28,0,0
South Africa,ZAF,08/09/2024,30,25,3,3,1,1,0,0
Rwanda,RWA,25/08/2024,4,4,0,0,0,0,0,0
Cameroon,CMR,08/09/2024,51,54,5,2,0,7,0,0
Gabon,GAB,08/09/2024,2,15,0,0,0,0,0,0
South Africa,ZAF,01/09/2024,29,24,3,3,0,0,0,0
Nigeria,NGA,30/04/2023,835,NA,9,NA,0,0,0,0
Nigeria,NGA,28/05/2023,842,NA,9,NA,0,0,0,0
Nigeria,NGA,25/06/2023,843,NA,9,NA,0,0,0,0
Nigeria,NGA,23/07/2023,844,NA,9,NA,0,0,0,0
Nigeria,NGA,17/09/2023,846,NA,9,NA,0,0,0,0
Nigeria,NGA,22/10/2023,846,NA,9,NA,0,0,0,0
Nigeria,NGA,19/11/2023,847,NA,9,NA,0,0,0,0
Nigeria,NGA,04/02/2024,863,64,9,0,0,9,0,0
Nigeria,NGA,03/03/2024,867,191,9,0,0,40,0,0
Nigeria,NGA,02/06/2024,888,553,9,0,1,40,0,0
South Africa,ZAF,28/08/2022,5,NA,0,NA,1,0,0,0
South Africa,ZAF,23/10/2022,5,NA,0,NA,0,0,0,0
South Africa,ZAF,27/11/2022,5,NA,0,NA,0,0,0,0
South Africa,ZAF,01/01/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,26/03/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,30/04/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,23/07/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,27/08/2023,5,NA,0,NA,0,0,0,0
Cameroon,CMR,03/09/2023,43,NA,3,NA,0,0,0,0
Cameroon,CMR,10/09/2023,44,NA,3,NA,1,0,0,0
Cameroon,CMR,01/10/2023,44,NA,3,NA,0,0,0,0
Cameroon,CMR,08/10/2023,45,NA,3,NA,1,0,0,0
Cameroon,CMR,03/12/2023,45,NA,3,NA,0,0,0,0
Cameroon,CMR,07/01/2024,45,0,3,0,0,0,0,0
Cameroon,CMR,25/02/2024,47,12,4,1,0,1,0,0
Cameroon,CMR,31/03/2024,47,21,4,1,0,2,0,0
Cameroon,CMR,28/04/2024,50,26,5,2,0,0,0,0
Cameroon,CMR,21/07/2024,50,34,5,2,0,0,0,0
Ghana,GHA,27/03/2022,2,NA,0,NA,0,0,0,0
Ghana,GHA,01/05/2022,2,NA,0,NA,0,0,0,0
Ghana,GHA,17/07/2022,36,NA,0,NA,2,0,0,0
Ghana,GHA,21/08/2022,79,NA,4,NA,11,0,3,0
Ghana,GHA,02/10/2022,105,NA,4,NA,4,0,0,0
Ghana,GHA,09/10/2022,105,NA,4,NA,0,0,0,0
Ghana,GHA,30/10/2022,108,NA,4,NA,2,0,0,0
Ghana,GHA,27/11/2022,111,NA,4,NA,3,0,0,0
Liberia,LBR,05/05/2024,22,36,0,0,0,0,0,0
Liberia,LBR,28/07/2024,22,51,0,0,0,4,0,0
Mozambique,MOZ,09/10/2022,1,NA,0,NA,1,0,0,0
Mozambique,MOZ,01/01/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,05/02/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,12/03/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,04/06/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,09/07/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,01/10/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,05/11/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,28/01/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,03/03/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,07/04/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,30/06/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,04/08/2024,1,NA,1,NA,0,0,0,0
South Africa,ZAF,18/09/2022,5,NA,0,NA,0,0,0,0
South Africa,ZAF,11/12/2022,5,NA,0,NA,0,0,0,0
South Africa,ZAF,15/01/2023,5,NA,0,NA,0,0,0,0
Côte d’Ivoire,CIV,21/07/2024,5,5,0,0,3,3,0,0
Democratic Republic of the Congo,COD,11/08/2024,5598,17256,27,606,256,1418,0,32
Congo,COG,11/08/2024,47,167,2,0,2,6,0,0
Côte d’Ivoire,CIV,11/08/2024,21,33,0,0,8,14,0,0
Côte d’Ivoire,CIV,07/07/2024,1,1,0,0,1,1,0,0
Côte d’Ivoire,CIV,14/07/2024,2,2,0,0,1,1,0,0
Côte d’Ivoire,CIV,04/08/2024,13,19,0,0,4,8,0,0
Ghana,GHA,11/08/2024,128,NA,4,NA,0,0,0,0
Liberia,LBR,11/08/2024,23,61,0,0,1,10,0,0
Ghana,GHA,18/08/2024,128,NA,4,NA,0,0,0,0
Kenya,KEN,11/08/2024,1,18,0,0,0,9,0,0
Mozambique,MOZ,11/08/2024,1,NA,1,NA,0,0,0,0
Kenya,KEN,18/08/2024,1,32,0,0,0,14,0,0
Mozambique,MOZ,18/08/2024,1,NA,1,NA,0,0,0,0
Nigeria,NGA,11/08/2024,900,744,9,0,1,12,0,0
Nigeria,NGA,18/08/2024,901,813,9,0,1,69,0,0
Benin,BEN,09/10/2022,3,NA,0,NA,0,0,0,0
Benin,BEN,13/11/2022,3,NA,0,NA,0,0,0,0
Benin,BEN,05/02/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,12/03/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,16/04/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,09/07/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,13/08/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,05/11/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,10/12/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,03/03/2024,3,NA,0,NA,0,0,0,0
Benin,BEN,07/04/2024,3,NA,0,NA,0,0,0,0
Benin,BEN,12/05/2024,3,NA,0,NA,0,0,0,0
Benin,BEN,04/08/2024,3,NA,0,NA,0,0,0,0
Burundi,BDI,28/07/2024,9,20,0,0,9,20,0,0
Burundi,BDI,11/08/2024,83,333,0,0,43,140,0,0
Cameroon,CMR,03/04/2022,3,NA,1,NA,0,0,0,0
Cameroon,CMR,28/08/2022,8,NA,3,NA,0,0,0,0
Cameroon,CMR,16/10/2022,12,NA,3,NA,2,0,0,0
Central African Republic,CAF,03/12/2023,45,NA,1,NA,0,0,0,0
Central African Republic,CAF,28/01/2024,52,27,1,0,1,8,0,0
Central African Republic,CAF,07/04/2024,66,84,1,0,1,4,0,0
Central African Republic,CAF,14/04/2024,66,92,1,0,0,8,0,0
Central African Republic,CAF,09/06/2024,67,124,1,0,1,3,0,0
Congo,COG,17/07/2022,2,NA,0,NA,0,0,0,0
Congo,COG,11/09/2022,5,NA,0,NA,2,0,0,0
Congo,COG,09/10/2022,5,NA,0,NA,0,0,0,0
Congo,COG,13/11/2022,5,NA,0,NA,0,0,0,0
Congo,COG,18/12/2022,5,NA,0,NA,0,0,0,0
Congo,COG,12/03/2023,5,NA,0,NA,0,0,0,0
Congo,COG,16/04/2023,5,NA,0,NA,0,0,0,0
Congo,COG,09/07/2023,5,NA,0,NA,0,0,0,0
Congo,COG,24/09/2023,18,NA,0,NA,0,0,0,0
Congo,COG,22/10/2023,23,NA,2,NA,0,0,0,0
Congo,COG,19/11/2023,26,NA,2,NA,1,0,0,0
Congo,COG,14/01/2024,27,3,2,0,1,3,0,0
Congo,COG,11/02/2024,30,12,2,0,0,1,0,0
Congo,COG,12/05/2024,45,94,2,0,0,6,0,0
Congo,COG,16/06/2024,45,145,2,0,0,2,0,0
Democratic Republic of the Congo,COD,05/06/2022,10,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,10/07/2022,100,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,28/08/2022,174,NA,0,NA,25,0,0,0
Democratic Republic of the Congo,COD,23/10/2022,250,NA,0,NA,15,0,0,0
Democratic Republic of the Congo,COD,20/11/2022,262,NA,0,NA,4,0,0,0
Democratic Republic of the Congo,COD,19/03/2023,448,NA,0,NA,7,0,0,0
Democratic Republic of the Congo,COD,14/05/2023,632,NA,2,NA,28,0,1,0
Democratic Republic of the Congo,COD,24/09/2023,911,NA,2,NA,12,0,0,0
Democratic Republic of the Congo,COD,22/10/2023,1011,NA,2,NA,29,0,0,0
Democratic Republic of the Congo,COD,12/11/2023,1127,NA,2,NA,52,0,0,0
Democratic Republic of the Congo,COD,26/11/2023,1171,NA,2,NA,17,0,0,0
Democratic Republic of the Congo,COD,10/12/2023,1192,NA,2,NA,14,0,0,0
Democratic Republic of the Congo,COD,28/01/2024,1449,1169,3,100,91,341,0,29
Democratic Republic of the Congo,COD,17/03/2024,1835,4297,4,295,45,291,0,12
Mozambique,MOZ,31/03/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,23/06/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,28/07/2024,1,NA,1,NA,0,0,0,0
Nigeria,NGA,08/05/2022,15,NA,1,NA,0,0,0,0
Nigeria,NGA,05/06/2022,32,NA,2,NA,11,0,1,0
Nigeria,NGA,12/06/2022,36,NA,2,NA,4,0,0,0
Nigeria,NGA,24/07/2022,133,NA,3,NA,15,0,0,0
Nigeria,NGA,18/09/2022,400,NA,7,NA,51,0,0,0
Nigeria,NGA,16/10/2022,552,NA,7,NA,22,0,0,0
Nigeria,NGA,01/01/2023,763,NA,7,NA,7,0,0,0
Nigeria,NGA,15/01/2023,776,NA,8,NA,10,0,1,0
Nigeria,NGA,23/04/2023,835,NA,9,NA,1,0,0,0
Nigeria,NGA,21/05/2023,842,NA,9,NA,1,0,0,0
Nigeria,NGA,16/07/2023,844,NA,9,NA,1,0,0,0
Nigeria,NGA,13/08/2023,846,NA,9,NA,0,0,0,0
Nigeria,NGA,05/11/2023,846,NA,9,NA,0,0,0,0
Nigeria,NGA,12/11/2023,847,NA,9,NA,1,0,0,0
Nigeria,NGA,26/11/2023,855,NA,9,NA,8,0,0,0
Nigeria,NGA,18/02/2024,867,110,9,0,2,24,0,0
Nigeria,NGA,31/03/2024,879,336,9,0,6,57,0,0
Nigeria,NGA,07/04/2024,880,363,9,0,1,27,0,0
Nigeria,NGA,21/07/2024,899,714,9,0,1,16,0,0
Rwanda,RWA,28/07/2024,4,4,0,0,4,4,0,0
South Africa,ZAF,14/08/2022,3,NA,0,NA,0,0,0,0
South Africa,ZAF,04/09/2022,5,NA,0,NA,0,0,0,0
South Africa,ZAF,09/10/2022,5,NA,0,NA,0,0,0,0
South Africa,ZAF,13/11/2022,5,NA,0,NA,0,0,0,0
South Africa,ZAF,05/02/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,12/03/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,04/06/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,09/07/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,01/10/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,05/11/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,10/12/2023,5,NA,0,NA,0,0,0,0
Ghana,GHA,03/04/2022,2,NA,0,NA,0,0,0,0
Ghana,GHA,24/07/2022,38,NA,0,NA,2,0,0,0
Ghana,GHA,28/08/2022,86,NA,4,NA,7,0,0,0
Ghana,GHA,04/12/2022,111,NA,4,NA,0,0,0,0
Ghana,GHA,22/01/2023,124,NA,4,NA,2,0,0,0
Ghana,GHA,19/02/2023,124,NA,4,NA,0,0,0,0
Ghana,GHA,16/04/2023,126,NA,4,NA,0,0,0,0
Ghana,GHA,16/07/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,20/08/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,12/11/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,17/12/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,10/03/2024,128,NA,4,NA,0,0,0,0
Ghana,GHA,14/04/2024,128,NA,4,NA,0,0,0,0
Ghana,GHA,19/05/2024,128,NA,4,NA,0,0,0,0
Kenya,KEN,28/07/2024,1,2,0,0,1,2,0,0
Liberia,LBR,04/09/2022,3,NA,0,NA,0,0,0,0
Liberia,LBR,19/02/2023,8,NA,0,NA,1,0,0,0
Liberia,LBR,26/02/2023,8,NA,0,NA,0,0,0,0
Liberia,LBR,16/07/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,20/08/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,12/11/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,07/01/2024,17,0,0,0,0,0,0,0
Liberia,LBR,31/03/2024,22,36,0,0,1,10,0,0
Liberia,LBR,07/04/2024,22,36,0,0,0,0,0,0
Liberia,LBR,30/06/2024,22,42,0,0,0,4,0,0
Liberia,LBR,04/08/2024,22,51,0,0,0,0,0,0
Mozambique,MOZ,06/11/2022,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,29/01/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,05/03/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,28/05/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,02/07/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,06/08/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,29/10/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,03/12/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,25/02/2024,1,NA,1,NA,0,0,0,0
Central African Republic,CAF,11/08/2024,92,260,2,1,2,27,0,0
Congo,COG,19/06/2022,2,NA,0,NA,0,0,0,0
Congo,COG,24/07/2022,2,NA,0,NA,0,0,0,0
Congo,COG,21/08/2022,3,NA,0,NA,0,0,0,0
Congo,COG,16/10/2022,5,NA,0,NA,0,0,0,0
Congo,COG,20/11/2022,5,NA,0,NA,0,0,0,0
Congo,COG,12/02/2023,5,NA,0,NA,0,0,0,0
Congo,COG,19/03/2023,5,NA,0,NA,0,0,0,0
Congo,COG,11/06/2023,5,NA,0,NA,0,0,0,0
Congo,COG,16/07/2023,5,NA,0,NA,0,0,0,0
Congo,COG,03/09/2023,13,NA,0,NA,1,0,0,0
Congo,COG,01/10/2023,18,NA,0,NA,0,0,0,0
Congo,COG,15/10/2023,23,NA,2,NA,4,0,1,0
Congo,COG,17/12/2023,26,NA,2,NA,0,0,0,0
Congo,COG,18/02/2024,35,36,2,0,5,24,0,0
Congo,COG,03/03/2024,37,45,2,0,0,2,0,0
Congo,COG,26/05/2024,45,138,2,0,0,3,0,0
Congo,COG,30/06/2024,45,148,2,0,0,0,0,0
Congo,COG,04/08/2024,45,161,2,0,0,1,0,0
Democratic Republic of the Congo,COD,18/12/2022,277,NA,0,NA,2,0,0,0
Democratic Republic of the Congo,COD,26/03/2023,451,NA,0,NA,3,0,0,0
Democratic Republic of the Congo,COD,18/06/2023,700,NA,2,NA,25,0,0,0
Democratic Republic of the Congo,COD,16/07/2023,817,NA,2,NA,31,0,0,0
Democratic Republic of the Congo,COD,30/07/2023,834,NA,2,NA,6,0,0,0
Democratic Republic of the Congo,COD,03/09/2023,886,NA,2,NA,6,0,0,0
Democratic Republic of the Congo,COD,08/10/2023,952,NA,2,NA,27,0,0,0
Democratic Republic of the Congo,COD,19/11/2023,1154,NA,2,NA,27,0,0,0
Democratic Republic of the Congo,COD,17/12/2023,1200,NA,2,NA,8,0,0,0
Democratic Republic of the Congo,COD,07/01/2024,1268,255,2,23,23,255,0,23
Democratic Republic of the Congo,COD,05/05/2024,2426,6358,9,349,185,440,1,12
Democratic Republic of the Congo,COD,26/05/2024,2953,7864,13,383,213,468,1,12
Democratic Republic of the Congo,COD,09/06/2024,3430,8851,16,406,249,560,1,11
Ghana,GHA,27/02/2022,1,NA,0,NA,1,0,0,0
South Africa,ZAF,24/03/2024,5,NA,0,NA,0,0,0,0
South Africa,ZAF,28/04/2024,5,NA,0,NA,0,0,0,0
South Africa,ZAF,28/07/2024,27,22,3,3,0,0,0,0
Uganda,UGA,28/07/2024,2,44,0,0,0,9,0,0
Cameroon,CMR,20/03/2022,3,NA,1,NA,1,0,0,0
Cameroon,CMR,10/07/2022,8,NA,1,NA,0,0,0,0
Cameroon,CMR,07/08/2022,8,NA,3,NA,0,0,2,0
Cameroon,CMR,11/09/2022,9,NA,3,NA,1,0,0,0
Cameroon,CMR,25/12/2022,18,NA,3,NA,0,0,0,0
Cameroon,CMR,29/01/2023,18,NA,3,NA,0,0,0,0
Cameroon,CMR,05/03/2023,18,NA,3,NA,0,0,0,0
Cameroon,CMR,02/07/2023,41,NA,3,NA,0,0,0,0
Cameroon,CMR,26/11/2023,45,NA,3,NA,0,0,0,0
Cameroon,CMR,31/12/2023,45,NA,3,NA,0,0,0,0
Cameroon,CMR,24/03/2024,47,19,4,1,0,1,0,0
Cameroon,CMR,21/04/2024,50,26,5,2,0,1,0,0
Cameroon,CMR,26/05/2024,50,29,5,2,0,2,0,0
Central African Republic,CAF,03/04/2022,18,NA,0,NA,0,0,0,0
Central African Republic,CAF,01/05/2022,19,NA,0,NA,0,0,0,0
Central African Republic,CAF,05/06/2022,19,NA,0,NA,0,0,0,0
Central African Republic,CAF,21/08/2022,23,NA,0,NA,0,0,0,0
Central African Republic,CAF,25/09/2022,25,NA,0,NA,1,0,0,0
Central African Republic,CAF,16/10/2022,28,NA,0,NA,3,0,0,0
Central African Republic,CAF,20/11/2022,28,NA,0,NA,0,0,0,0
Central African Republic,CAF,05/03/2023,41,NA,1,NA,0,0,0,0
Central African Republic,CAF,02/04/2023,45,NA,1,NA,0,0,0,0
Central African Republic,CAF,25/06/2023,45,NA,1,NA,0,0,0,0
Central African Republic,CAF,30/07/2023,45,NA,1,NA,0,0,0,0
Central African Republic,CAF,03/09/2023,45,NA,1,NA,0,0,0,0
Central African Republic,CAF,26/11/2023,45,NA,1,NA,0,0,0,0
Central African Republic,CAF,11/02/2024,54,43,1,0,1,7,0,0
Central African Republic,CAF,17/03/2024,61,74,1,0,0,6,0,0
Central African Republic,CAF,31/03/2024,65,80,1,0,2,1,0,0
Mozambique,MOZ,19/02/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,26/03/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,30/04/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,23/07/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,27/08/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,19/11/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,24/12/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,17/03/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,21/04/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,26/05/2024,1,NA,1,NA,0,0,0,0
Nigeria,NGA,13/03/2022,9,NA,0,NA,3,0,0,0
Nigeria,NGA,29/05/2022,21,NA,1,NA,0,0,0,0
Nigeria,NGA,26/06/2022,63,NA,2,NA,22,0,0,0
Nigeria,NGA,03/07/2022,84,NA,3,NA,21,0,1,0
Nigeria,NGA,09/10/2022,530,NA,7,NA,49,0,0,0
Nigeria,NGA,27/11/2022,680,NA,7,NA,21,0,0,0
Nigeria,NGA,22/01/2023,787,NA,8,NA,11,0,0,0
Nigeria,NGA,16/04/2023,834,NA,9,NA,1,0,0,0
Nigeria,NGA,03/09/2023,846,NA,9,NA,0,0,0,0
Nigeria,NGA,08/10/2023,846,NA,9,NA,0,0,0,0
Nigeria,NGA,14/01/2024,861,10,9,0,0,5,0,0
Nigeria,NGA,16/06/2024,891,604,9,0,2,20,0,0
Nigeria,NGA,07/07/2024,898,664,9,0,3,34,0,0
South Africa,ZAF,03/07/2022,1,NA,0,NA,1,0,0,0
South Africa,ZAF,10/07/2022,1,NA,0,NA,0,0,0,0
South Africa,ZAF,30/10/2022,5,NA,0,NA,0,0,0,0
South Africa,ZAF,04/12/2022,5,NA,0,NA,0,0,0,0
South Africa,ZAF,26/02/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,02/04/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,25/06/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,30/07/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,03/09/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,26/11/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,31/12/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,19/11/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,24/12/2023,5,NA,0,NA,0,0,0,0
South Africa,ZAF,28/01/2024,5,NA,0,NA,0,0,0,0
South Africa,ZAF,21/04/2024,5,NA,0,NA,0,0,0,0
South Africa,ZAF,19/05/2024,6,1,0,0,0,0,0,0
South Africa,ZAF,23/06/2024,21,16,3,3,4,4,1,1
Ghana,GHA,20/03/2022,2,NA,0,NA,0,0,0,0
Ghana,GHA,24/04/2022,2,NA,0,NA,0,0,0,0
Ghana,GHA,11/09/2022,93,NA,4,NA,4,0,0,0
Ghana,GHA,06/11/2022,108,NA,4,NA,0,0,0,0
Ghana,GHA,15/01/2023,122,NA,4,NA,0,0,0,0
Ghana,GHA,12/03/2023,124,NA,4,NA,0,0,0,0
Ghana,GHA,19/03/2023,125,NA,4,NA,1,0,0,0
Ghana,GHA,06/08/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,10/09/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,03/12/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,07/01/2024,128,NA,4,NA,0,0,0,0
Ghana,GHA,11/02/2024,128,NA,4,NA,0,0,0,0
Ghana,GHA,05/05/2024,128,NA,4,NA,0,0,0,0
Ghana,GHA,09/06/2024,128,NA,4,NA,0,0,0,0
Liberia,LBR,02/10/2022,3,NA,0,NA,0,0,0,0
Liberia,LBR,06/11/2022,3,NA,0,NA,0,0,0,0
Liberia,LBR,04/12/2022,4,NA,0,NA,0,0,0,0
Liberia,LBR,02/04/2023,10,NA,0,NA,0,0,0,0
Liberia,LBR,21/05/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,25/06/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,30/07/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,22/10/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,19/11/2023,14,NA,0,NA,2,0,0,0
Liberia,LBR,17/12/2023,17,NA,0,NA,0,0,0,0
Liberia,LBR,11/02/2024,19,9,0,0,0,0,0,0
Liberia,LBR,18/02/2024,20,17,0,0,1,8,0,0
Liberia,LBR,09/06/2024,22,36,0,0,0,0,0,0
Liberia,LBR,14/07/2024,22,47,0,0,0,5,0,0
Mozambique,MOZ,27/11/2022,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,07/01/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,11/02/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,05/05/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,09/06/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,14/07/2024,1,NA,1,NA,0,0,0,0
Nigeria,NGA,09/01/2022,1,NA,0,NA,1,0,0,0
Nigeria,NGA,06/02/2022,3,NA,0,NA,0,0,0,0
Nigeria,NGA,15/05/2022,19,NA,1,NA,4,0,0,0
Nigeria,NGA,17/07/2022,118,NA,3,NA,17,0,0,0
Nigeria,NGA,11/09/2022,349,NA,7,NA,31,0,0,0
Nigeria,NGA,23/10/2022,583,NA,7,NA,31,0,0,0
Nigeria,NGA,11/12/2022,744,NA,7,NA,24,0,0,0
Nigeria,NGA,08/01/2023,766,NA,7,NA,3,0,0,0
Nigeria,NGA,05/02/2023,797,NA,8,NA,7,0,0,0
Nigeria,NGA,26/02/2023,811,NA,9,NA,5,0,1,0
Nigeria,NGA,02/04/2023,833,NA,9,NA,4,0,0,0
Nigeria,NGA,09/04/2023,833,NA,9,NA,0,0,0,0
Democratic Republic of the Congo,COD,24/03/2024,1899,4577,4,307,64,280,0,12
Democratic Republic of the Congo,COD,21/04/2024,2164,5657,6,332,67,257,1,7
Ghana,GHA,08/05/2022,2,NA,0,NA,0,0,0,0
Ghana,GHA,04/09/2022,89,NA,4,NA,3,0,0,0
Ghana,GHA,25/09/2022,101,NA,4,NA,5,0,0,0
Ghana,GHA,20/11/2022,108,NA,4,NA,0,0,0,0
Ghana,GHA,05/02/2023,124,NA,4,NA,0,0,0,0
Ghana,GHA,28/05/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,02/07/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,24/09/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,29/10/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,21/01/2024,128,NA,4,NA,0,0,0,0
Ghana,GHA,25/02/2024,128,NA,4,NA,0,0,0,0
Ghana,GHA,31/03/2024,128,NA,4,NA,0,0,0,0
Ghana,GHA,23/06/2024,128,NA,4,NA,0,0,0,0
Ghana,GHA,28/07/2024,128,NA,4,NA,0,0,0,0
